phase,layer,expert,samples,load_mean,load_std,cycles_mean,cycles_std,cycles_per_token_mean,cycles_per_token_std,cycles_per_token_min,cycles_per_token_max,cycles_per_token_cv
prefill,3,11,1,2.0,,8587146.0,,4293573.0,,4293573.0,4293573.0,
prefill,3,12,1,11.0,,45727330.0,,4157030.0,,4157030.0,4157030.0,
prefill,3,13,1,27.0,,112407854.0,,4163253.8518518517,,4163253.8518518517,4163253.8518518517,
prefill,3,14,1,1.0,,4612148.0,,4612148.0,,4612148.0,4612148.0,
prefill,3,15,1,16.0,,66521607.0,,4157600.4375,,4157600.4375,4157600.4375,
prefill,3,16,1,44.0,,182606297.0,,4150143.1136363638,,4150143.1136363638,4150143.1136363638,
prefill,3,17,1,8.0,,33272497.0,,4159062.125,,4159062.125,4159062.125,
prefill,3,18,1,16.0,,66541050.0,,4158815.625,,4158815.625,4158815.625,
prefill,3,19,1,6.0,,25074484.0,,4179080.6666666665,,4179080.6666666665,4179080.6666666665,
prefill,3,20,1,14.0,,58340113.0,,4167150.9285714286,,4167150.9285714286,4167150.9285714286,
prefill,3,21,1,7.0,,29242101.0,,4177443.0,,4177443.0,4177443.0,
prefill,3,22,1,12.0,,49791638.0,,4149303.1666666665,,4149303.1666666665,4149303.1666666665,
prefill,3,23,1,13.0,,54092643.0,,4160972.5384615385,,4160972.5384615385,4160972.5384615385,
prefill,3,24,1,9.0,,37562095.0,,4173566.111111111,,4173566.111111111,4173566.111111111,
prefill,3,25,1,3.0,,12874974.0,,4291658.0,,4291658.0,4291658.0,
prefill,3,26,1,23.0,,95589508.0,,4156065.565217391,,4156065.565217391,4156065.565217391,
prefill,3,27,1,12.0,,49916022.0,,4159668.5,,4159668.5,4159668.5,
prefill,3,28,1,8.0,,33510704.0,,4188838.0,,4188838.0,4188838.0,
prefill,3,29,1,22.0,,91407951.0,,4154906.8636363638,,4154906.8636363638,4154906.8636363638,
prefill,3,30,1,31.0,,129053996.0,,4163032.129032258,,4163032.129032258,4163032.129032258,
prefill,3,31,1,12.0,,49942159.0,,4161846.5833333335,,4161846.5833333335,4161846.5833333335,
prefill,4,1,1,18.0,,75040950.0,,4168941.6666666665,,4168941.6666666665,4168941.6666666665,
prefill,4,2,1,9.0,,37786702.0,,4198522.444444444,,4198522.444444444,4198522.444444444,
prefill,4,3,1,22.0,,91368297.0,,4153104.409090909,,4153104.409090909,4153104.409090909,
prefill,4,4,1,9.0,,37590794.0,,4176754.888888889,,4176754.888888889,4176754.888888889,
prefill,4,5,1,16.0,,67361521.0,,4210095.0625,,4210095.0625,4210095.0625,
prefill,4,6,1,8.0,,33378211.0,,4172276.375,,4172276.375,4172276.375,
prefill,4,7,1,16.0,,66574862.0,,4160928.875,,4160928.875,4160928.875,
prefill,4,8,1,9.0,,37533884.0,,4170431.5555555555,,4170431.5555555555,4170431.5555555555,
prefill,4,9,1,17.0,,70830653.0,,4166509.0,,4166509.0,4166509.0,
prefill,4,10,1,13.0,,54085461.0,,4160420.076923077,,4160420.076923077,4160420.076923077,
prefill,4,11,1,31.0,,128612993.0,,4148806.2258064514,,4148806.2258064514,4148806.2258064514,
prefill,4,12,1,25.0,,103858359.0,,4154334.36,,4154334.36,4154334.36,
prefill,4,13,1,4.0,,16746061.0,,4186515.25,,4186515.25,4186515.25,
prefill,4,14,1,9.0,,37680036.0,,4186670.6666666665,,4186670.6666666665,4186670.6666666665,
prefill,4,15,1,15.0,,62485511.0,,4165700.7333333334,,4165700.7333333334,4165700.7333333334,
prefill,4,16,1,10.0,,41590032.0,,4159003.2,,4159003.2,4159003.2,
prefill,4,17,1,13.0,,54105264.0,,4161943.3846153845,,4161943.3846153845,4161943.3846153845,
prefill,4,18,1,10.0,,41668007.0,,4166800.7,,4166800.7,4166800.7,
prefill,4,19,1,12.0,,49938267.0,,4161522.25,,4161522.25,4161522.25,
prefill,4,20,1,13.0,,54185055.0,,4168081.153846154,,4168081.153846154,4168081.153846154,
prefill,4,21,1,21.0,,87428396.0,,4163256.9523809524,,4163256.9523809524,4163256.9523809524,
prefill,4,22,1,5.0,,21032034.0,,4206406.8,,4206406.8,4206406.8,
prefill,4,23,1,32.0,,132662492.0,,4145702.875,,4145702.875,4145702.875,
prefill,4,25,1,4.0,,16874733.0,,4218683.25,,4218683.25,4218683.25,
prefill,4,26,1,16.0,,66707393.0,,4169212.0625,,4169212.0625,4169212.0625,
prefill,4,27,1,17.0,,70936932.0,,4172760.705882353,,4172760.705882353,4172760.705882353,
prefill,4,28,1,8.0,,33305633.0,,4163204.125,,4163204.125,4163204.125,
prefill,4,29,1,15.0,,72678464.0,,4845230.933333334,,4845230.933333334,4845230.933333334,
prefill,4,30,1,31.0,,144992612.0,,4677181.0322580645,,4677181.0322580645,4677181.0322580645,
prefill,4,31,1,28.0,,122209684.0,,4364631.571428572,,4364631.571428572,4364631.571428572,
prefill,5,0,1,11.0,,45917941.0,,4174358.272727273,,4174358.272727273,4174358.272727273,
prefill,5,2,1,5.0,,21034320.0,,4206864.0,,4206864.0,4206864.0,
prefill,5,3,1,28.0,,116252777.0,,4151884.8928571427,,4151884.8928571427,4151884.8928571427,
